data,label
"['\n\t\t The readings of underspecified expressions are represented by compact and concise descriptions , instead of being enumerated explicitly . \n\t', '\n\t\t Underspecified descriptions are easier to derive in syntax-semantics interfaces \n\t\t']",Positive
['\n\t\t Two important underspecification formalisms in the recent literature are Minimal Recursion Semantics ( MRS ) \n\t\t'],Positive
"['\n\t\t MRS is the under- specification language which is used in large-scale HPSG grammars , such as the English Resource Grammar ( ERG ) \n\t\t']",Positive
['\n\t\t The main advantage of dominance constraints is that they can be solved very efficiently \n\t\t'],Positive
['\n\t\t \n\t\t'],Positive
"['\n\t\t This translation clarified the precise relationship between these two related formalisms , and made the powerful meta-theory of dominance constraints accessible to MRS . \n\t', '\n\t\t Their goal was to also make the large grammars for MRS * Supported by the CHORUS project of the SFB 378 of the DFG . \n\t', '\n\t\t and the efficient constraint solvers for dominance constraints available to the other formalism . \n\t', '\n\t\t However , Niehren and Thater made three technical assumptions : 1. that EP-conjunction can be resolved in a preprocessing step ; 2. that the qeq relation in MRS is simply dominance ; 3 . \n\t', '\n\t\t and ( most importantly ) that all linguistically correct and relevant MRS expressions belong to a certain class of constraints called nets . \n\t', '\n\t\t This means that it is not obvious whether their result can be immediately applied to the output of practical grammars like the ERG . \n\t', '\n\t\t In this paper , we evaluate the truth of these assumptions on the MRS expressions which the ERG computes for the sentences in the Redwoods Tree- bank \n\t\t']",Positive
"['\n\t\t The main result of our evaluation is that 83 % of the Redwoods sentences are indeed nets , and 17 % aren\x92t . \n\t', '\n\t\t A closer analysis of the non-nets reveals that they seem to be systematically incomplete , i. e. they predict more readings than the sentence actually has . \n\t', '\n\t\t This supports the claim that all linguistically correct MRS expressions are indeed nets . \n\t', '\n\t\t We also verify the other two assumptions , one empirically and one by proof . \n\t', '\n\t\t Our results are practically relevant because dominance constraint solvers are much faster and have more predictable runtimes when solving nets than the LKB solver for MRS \n\t\t']",Negative
"['\n\t\t In addition , nets might be useful as a debugging tool to identify potentially problematic semantic outputs when designing a grammar . \n\t', '\n\t\t Plan of the Paper . \n\t', '\n\t\t We first recall the definitions of MRS ( § 2 ) and dominance constraints ( § 3 ) . \n\t', '\n\t\t We present the translation from MRS-nets to dominance constraints ( § 4 ) and prove that it can be extended to MRS-nets with EP-conjunction ( § 5 ) . \n\t', '\n\t\t Finally we evaluate the net hypothesis and the qeq assumption on the Redwoods corpus , and compare runtimes ( § 6 ) . \n\t', '\n\t\t 2 Minimal Recursion Semantics This section presents a definition of Minimal Recursion Semantics ( MRS ) \n\t\t']",Positive
"['\n\t\t Full MRS with qeq-semantics , top handles , and event variables will be discussed in the last paragraph . \n\t', '\n\t\t MRS Syntax . \n\t', '\n\t\t MRS constraints are conjunctive formulas over the following vocabulary : 1 . \n\t', '\n\t\t An infinite set of variables ranged over by h . \n\t', '\n\t\t Variables are also called handles . \n\t', '\n\t\t 2. An infinite set of constants x,y,z denoting indivual variables of the object language . \n\t', '\n\t\t 3. A set of function symbols ranged over by P , and a set of quantifier symbols ranged over by Q . \n\t', '\n\t\t Pairs Qx are further function symbols . \n\t', '\n\t\t 4. The binary predicate symbol \x91=q\x92 . \n\t', '\n\t\t MRS constraints have three kinds of literals , two kinds of elementary predications ( EPs ) in the first two lines and handle constraints in the third line : 1. h:P(x1,...,xn,h1 , ... , hm),where n,m>0 2. h : Qx(h1,h2) 3. h1 =q h2 In EPs , label positions are on the left of \x91:\x92 and argument positions on the right . \n\t', '\n\t\t Let Mbe a set of literals . \n\t', '\n\t\t The label set lab(M) contains all handles of M that occur in label but not in argument position , and the argument handle set arg(M) contains all handles of M that occur in argument but not in label position . \n\t', '\n\t\t Definition 1 ( MRS constraints ) . \n\t', ""\n\t\t An MRS constraint ( MRS for short ) is a finite set M of MRS- literals such that : M1 every handle occurs at most once in argument position in M , M2 handle constraints h =q h ' always relate argument handles h to labels h ' , and M3 for every constant ( individual variable ) x in argument position in M there is a unique literal of the formh : Qx(h1,h2) in M . \n\t"", '\n\t\t We say that an MRS M is compact if every handle h in M is either a label or an argument handle . \n\t', '\n\t\t Compactness simplifies the following proofs , but it is no serious restriction in practice . \n\t', '\n\t\t We usually represent MRSs as directed graphs : the nodes of the graph are the handles of the MRS , EPs are represented as solid lines , and handle constraints are represented as dotted lines . \n\t', '\n\t\t For instance , the following MRS is represented by the graph on the left of Fig . \n\t', '\n\t\t 1. { h5 : somey(h6,h8),h7 : book(y),h1 : everyx(h2,h4) , h3 : student(x),h9 : read(x,y),h2 =q h3,h6 =q h7 } Figure 1 : An MRS and its two configurations . \n\t', '\n\t\t Note that the relation between bound variables and their binders is made explicit by binding edges drawn as dotted lines ( cf. C2 below ) ; transitively redundand binding edges ( e. g. , from somey to booky ) however are omited . \n\t', '\n\t\t MRS Semantics . \n\t', '\n\t\t Readings of underspecified representations correspond to configurations of MRS constraints . \n\t', '\n\t\t Intuitively , a configuration is an MRS where all handle constraints have been resolved by plugging the \x93tree fragments\x94 into each other . \n\t', ""\n\t\t Let M be an MRS and h , h ' be handles in M . \n\t"", ""\n\t\t We say that h immediately outscopes h ' in M if there is an EP in M with label h and argument handle h ' , and we say that h outscopes h ' in M if the pair ( h , h ' ) belongs to the reflexive transitive closure of the immediate outscope relation of M. Definition 2 ( MRS configurations ) . \n\t"", ""\n\t\t An MRS M is a configuration if it satisfies conditions C 1 and C2 : C 1 The graph of M is a tree of solid edges : ( i ) all handles are labels i. e. , arg ( M ) = 0 and M contains no handle constraints , ( ii ) handles don\x92t properly outscope themselve , and ( iii ) all handles are pairwise connected by EPs in M. C2 If h : Qx(h1,h2) and h ' : P( ... , x , ... ) belong to M , then h outscopes h ' in M i. e. , binding edges in the graph of M are transitively redundant . \n\t"", ""\n\t\t We say that a configuration M is configuration of an MRS M ' if there exists a partial substitution 6 : lab ( M ' ) --~ arg(M') that states how to identify labels with argument handles of M ' so that : C3 M= { 6(E) I E is an EP inM ' } , and C4 for all h =q h ' in M ' , h outscopes 6(h') in M . \n\t"", '\n\t\t The value 6(E) is obtained by substituting all labels in dom((Y) in E while leaving all other handels unchanged . \n\t', '\n\t\t The MRS on the left of Fig . \n\t', '\n\t\t 1 , for instance , has two configurations given to the right . \n\t', '\n\t\t EP-conjunctions . \n\t', '\n\t\t Definitions 1 and 2 generalize the idealized definition of MRS of \n\t\t']",Positive
"['\n\t\t An MRS M contains an EP-conjunction if it contains different EPs with the same label h.The intuition is that EP-conjunctions are interpreted by object language conjunctions . \n\t', '\n\t\t studentx booky readx.y booky readx.y readx.y studentx everyx somey somey everyx somey booky everyx studentx P1 , P2 { h1 : P1 (h2),h1 : P2(h3),h4 : P3 h2 =q h4 , h3=q h4 } P3 Figure 2 : An unsolvable MRS with EP-conjunction Figure 3 : A solvable MRS without merging-free configaration Fig . \n\t', '\n\t\t 2 shows an MRS with an EP-conjunction and its graph . \n\t', '\n\t\t The function symbols of both EPs are conjoined and their arguments are merged into a set . \n\t', '\n\t\t The MRS does not have configurations since the argument handles of the merged EPs cannot jointly outscope the node P4 . \n\t', '\n\t\t We call a configuration merging if it contains EP- conjunctions , and merging -free otherwise . \n\t', '\n\t\t Merging configurations are needed to solve EP-conjuctions such as { h : P1 , h : P2 } . \n\t', '\n\t\t Unfortunately , they can also solve MRSs without EP-conjunctions , such as the MRS in Fig . \n\t', '\n\t\t 3. The unique configuration of this MRS is a merging configuration : the labels of P1 and P2 must be identified with the only available argument handle . \n\t', '\n\t\t The admission of merging configurations may thus have important consequences for the solution space of arbitrary MRSs . \n\t', '\n\t\t Standard MRS . \n\t', '\n\t\t Standard MRS requires three further extensions : ( i ) qeq-semantics , ( ii ) top- handles , and ( iii ) event variables . \n\t', '\n\t\t These extensions are less relevant for our comparision . \n\t', '\n\t\t The qeq-semantics restricts the interpretation of handle constraints beyond dominance . \n\t', ""\n\t\t Let M be an MRS with handles h , h ' . \n\t"", ""\n\t\t We say that h is qeq h ' in M if either h = h ' , or there is an EP h : Qx ( h0 , h1 ) in M and h1 is qeq h ' in M . \n\t"", '\n\t\t Every qeq-configuration is a configuration as defined above , but not necessarily vice versa . \n\t', '\n\t\t The qeq-restriction is relevant in theory but will turn out unproblematic in practice ( see § 6 ) . \n\t', '\n\t\t Standard MRS requires the existence of top handles in all MRS constraints . \n\t', '\n\t\t This condition doesn\x92t matter for MRSs with connected graphs ( see \n\t\t']",Positive
"['\n\t\t MRSs with unconnected graphs clearly do not play any role in practical underspecified semantics . \n\t', ""\n\t\t Finally , MRSs permit events variables e , e ' as a second form of constants . \n\t"", '\n\t\t They are treated equally to individual variables except that they cannot be bound by quantifiers . \n\t', '\n\t\t 3 Dominance Constraints Dominance constraints are a general framework for describing trees . \n\t', '\n\t\t For scope underspecification , they are used to describe the syntax trees of object language formulas . \n\t', '\n\t\t Dominance constraints are the core language underlying CLLS \n\t\t']",Positive
"['\n\t\t Syntax and semantics . \n\t', '\n\t\t We assume a possibly infinite signature E = { f,g , ... } of function symbols with fixed arities ( written ar(f)) and an infinite set of variables ranged over by X , Y , Z . \n\t', ""\n\t\t A dominance constraint q ) is a conjunction of dominance , inequality , and labeling literals of the following form , where ar(f) = n : q)::=Xa^ Y |X=~Y |X : f(X1,...,Xn) | q)^q ) ' Dominance constraints are interpreted over finite constructor trees i. e. , ground terms constructed from the function symbols in E . \n\t"", '\n\t\t We identify ground terms with trees that are rooted , ranked , edge- ordered and labeled . \n\t', '\n\t\t A solution for a dominance constraint q ) consists of a tree i and an assign- ment a that maps the variables in q ) to nodes of i such that all constraints are satisfied : labeling lit- erals X : f(X1,...,Xn) are satisfied iff a(X) is la- beled with f and its daughters are a(X1 ) , ... , a(Xn) in this order ; dominance literals X a^ Y are satisfied iff a(X) dominates a(Y) in i ; and inequality literals X =~ Y are satisfied iff a(X) and a(Y) are distinct nodes . \n\t', '\n\t\t Solved forms . \n\t', '\n\t\t Satisfiable dominance constraints have infinitely many solutions . \n\t', '\n\t\t Constraint solvers for dominance constraints therefore do not enumerate solutions but solved forms i. e. , \x93tree shaped\x94 constraints . \n\t', '\n\t\t To this end , we consider ( weakly ) normal dominance constraints \n\t\t']",Positive
"['\n\t\t We call a variable a hole of q ) if it occurs in argu- ment position in q ) and a root of q ) otherwise . \n\t', '\n\t\t Definition 3 . \n\t', '\n\t\t A dominance constraint q ) is normal if it satisfies the following conditions . \n\t', '\n\t\t N1 ( a ) each variable of q ) occurs at most once in the labeling literals of q ) . \n\t', '\n\t\t ( b ) each variable of q ) occurs at least once in the labeling literals of q ) . \n\t', '\n\t\t N2 for distinct roots X and Y of q ) , X =~ Y is in q ) . \n\t', '\n\t\t N3 ( a ) ifX a^ Y occurs in q ) , Y is a root in q ) . \n\t', '\n\t\t ( b ) ifX a^ Y occurs in q ) , X is a hole in q ) . \n\t', '\n\t\t We call q ) weakly normal if it satisfies the above properties except for N1 ( b ) and N3 ( b ) . \n\t', '\n\t\t Note that Definition 3 imposes compactness : the height of tree fragments is always one . \n\t', '\n\t\t This is not P2 , P3 P2 P3 P1 configures P1 booky read,,y read~,y student , every , somey student , booky read,,y every , somey student , somey booky every , Figure 4 : A normal dominance constraint ( left ) and its two solved forms ( right ) . \n\t', '\n\t\t a serious restriction , as weakly normal dominance constraints can be compactified , provided that dominance links relate either roots or holes with roots . \n\t', '\n\t\t Weakly normal dominance constraints q ) can be represented by dominance graphs . \n\t', '\n\t\t The dominance graph of q ) is a directed graph G = ( V , ET U+ ED ) de- fined as follows . \n\t', '\n\t\t The nodes of G are the variables of q ) . \n\t', ""\n\t\t Labeling literals X : f ( X1 , ... , Xk ) are represented by tree edges ( X,Xi ) E ET , for 1 < i < k , and dominance literals X a* X ' are represented by dominance edges ( X,X' ) E ED . \n\t"", '\n\t\t Inequality literals are not represented in the graph . \n\t', '\n\t\t In pictures , labeling literals are drawn with solid lines and dominance edges with dotted lines . \n\t', '\n\t\t We say that a constraint q ) is in solved form if its graph is in solved form . \n\t', '\n\t\t A graph G is in solved form iff it is a forest . \n\t', ""\n\t\t The solved forms of G are solved forms G ' which are more specific than G i. e. , they differ only in their dominance edges and the reachability relation of G extends the reachability of G ' . \n\t"", '\n\t\t A minimal solved form is a solved form which is minimal with respect to specificity . \n\t', '\n\t\t Simple solvedforms are solved forms where every hole has exactly one outgoing dominance edge . \n\t', '\n\t\t Fig . \n\t', '\n\t\t 4 shows as a concrete example the translation of the MRS description in Fig . \n\t', '\n\t\t 1 together with its two minimal solved forms . \n\t', '\n\t\t Both solved forms are simple . \n\t', '\n\t\t 4 Translating Merging-Free MRS-Nets This section defines MRS-nets without EP- conjunctions , and sketches their translation to normal dominance constraints . \n\t', '\n\t\t We define nets equally for MRSs and dominance constraints . \n\t', '\n\t\t The key semantic property of nets is that different notions of solutions coincide . \n\t', '\n\t\t In this section , we show that merging-free configurations coincides to minimal solved forms . \n\t', '\n\t\t § 5 generalizes the translation by adding EP-conjunctions and permitting merging semantics . \n\t', '\n\t\t Pre-translation . \n\t', ""\n\t\t An MRS constraint M can be represented as a corresponding dominance con- straint q)M as follows : The variables of q)M are the handles of M , and the literals of q)M correspond ( a ) strong ( b ) weak ( c ) island Figure 5 : Fragment Schemata of Nets those of M in the following sence : h : P(x1 , ... , xn , h1 , ... , hk ) H h : Px1,...,xn ( h1 , ... , hk ) h : Qx(h1,h2) H h : Qx(h1,h2) h=qh'Hha*h' Additionally , dominance literals h a* h ' are added to q)Mfor all h,h's.t.h : Qx(h1,h2) and h':P(...,x , ... ) belong to M ( cf. C2 ) , and literals h =~ h ' are added to q)M for all h , h ' in distinct label position in M. Lemma 1 . \n\t"", '\n\t\t If a compact MRS M does not contain EP-conjunctions then q)M is weakly normal , and the graph of M is the transitive reduction of the graph of q)M . \n\t', '\n\t\t Nets . \n\t', '\n\t\t A hypernormal path \n\t\t']",Positive
"['\n\t\t Let q ) be a weakly normal dominance constraint and let G be the constraint graph of q ) . \n\t', ""\n\t\t We say that q ) is a dominance net if the transitive reduction G ' of G is a net . \n\t"", ""\n\t\t G ' is a net if every tree fragment F of G ' satisfies one of the following three conditions , illustrated in Fig . \n\t"", '\n\t\t 5 : Strong . \n\t', '\n\t\t Every hole of F has exactly one outgoing dominance edge , and there is no weak root-to-root dominance edge . \n\t', '\n\t\t Weak . \n\t', '\n\t\t Every hole except for the last one has exactly one outgoing dominance edge ; the last hole has no outgoing dominance edge , and there is exactly one weak root-to-root dominance edge . \n\t', '\n\t\t Island . \n\t', '\n\t\t The fragment has one hole X , and all variables which are connected toXby dominance edges are connected by a hypernormal path in the graph where F has been removed . \n\t', '\n\t\t We say that an MRS M is an MRS-net if the pre- translation of its literals results in a dominance net q)M . \n\t', '\n\t\t We say that an MRS-net M is connected if q)M is connected ; q)M is connected if the graph of q)M is connected . \n\t', '\n\t\t Note that this notion of MRS-nets implies that MRS-nets cannot contain EP-conjunctions as otherwise the resulting dominance constraint would not be weakly normal . \n\t', '\n\t\t § 5 shows that EP-conjunctions ... ... ... ... ... can be resolved i. e. , MRSs with EP-conjunctions can be mapped to corresponding MRSs without EP- conjunctions . \n\t', '\n\t\t If M is an MRS-net ( without EP-conjunctions ) , then M can be translated into a corresponding dominance constraint q ) by first pre-translating M into a q)M and then normalizing q)M by replacing weak root-to-root dominance edges in weak fragments by dominance edges which start from the open last hole . \n\t', '\n\t\t Theorem 1 \n\t\t']",Positive
"['\n\t\t Let Mbe an MRS and q)M be the translation of M . \n\t', '\n\t\t If M is a connected MRS-net , then the merging-free configurations of M bijectively correspond to the minimal solved forms of the q)M . \n\t', '\n\t\t The following section generalizes this result to MRS-nets with a merging semantics . \n\t', '\n\t\t 5 Merging and EP-Conjunctions We now show that if an MRS is a net , then all its configurations are merging-free , which in particular means that the translation can be applied to the more general version of MRS with a merging semantics . \n\t', '\n\t\t Lemma 2 \n\t\t']",Positive
"['\n\t\t All minimal solved forms of a connected dominance net are simple . \n\t', '\n\t\t Lemma 3 . \n\t', '\n\t\t If all solved forms of a normal dominance constraint are simple , then all of its solved forms are minimal . \n\t', '\n\t\t Theorem 2 . \n\t', '\n\t\t The configurations of an MRS-net M are merging-free . \n\t', '\n\t\t Proof . \n\t', '\n\t\t Let M , be a configuration of M and let 6 be the underlying substitution . \n\t', '\n\t\t We construct a solved form q)M , as follows : the labeling literals of q)M , are the pre-translations of the EPs in M , and q)M , has a dominance literal h , a* h iff ( h , h , ) E 6 , and inequal- ity literals X =~ Y for all distinct roots in q)M , . \n\t', '\n\t\t By condition C 1 in Def . \n\t', '\n\t\t 2 , the graph of M , is a tree , hence the graph of q)M , must also be a tree i. e. , q)M , is a solved form . \n\t', '\n\t\t q)M , must also be more spe- cific than the graph of q)M because the graph of M , satisfies all dominance requirements of the handle constraints in M , hence q)M , is a solved form of q)M . \n\t', '\n\t\t M clearly solved q)M , . \n\t', '\n\t\t By Lemmata 2 and 3 , q)M , must be simple and minimal because q)M is a net . \n\t', '\n\t\t But then M , cannot contain EP-conjunctions i. e. , M , is merging-free . \n\t', '\n\t\t The merging semantics of MRS is needed to solve EP-conjunctions . \n\t', '\n\t\t As we have seen , the merging semantics is not relevant for MRS constraints which are nets . \n\t', '\n\t\t This also verifies Niehren and Thater\x92s ( 2003 ) assumption that EP-conjunctions are \x93syntactic sugar\x94 which can be resolved in a preprocessing step : EP-conjunctions can be resolved by exhaustively applying the following rule which adds new literals to make the implicit conjunction explicit : h : E1(h1,...,hn),h : E2(h,1,...,h,m) ~ h : \x91E1&E2\x92(h1,...,hn,h,1,...,h,m) , where E ( h 1 , ... , hn ) stands for anEP with argument handles h1 , ... , hn , and where \x91E1 &E2\x92 is a complex function symbol . \n\t', '\n\t\t If this rule is applied exhaustively to an MRS M , we obtain an MRS M , without EP- conjunctions . \n\t', '\n\t\t It should be intuitively clear that the configurations of M and M , correspond ; Therefore , the configurations of M also correspond to the minimal solved forms of the translation of M ,. 6 Evaluation The two remaining assumptions underlying the translation are the \x93net-hypothesis\x94 that all linguistically relevant MRS expressions are nets , and the \x93qeq-hypothesis\x94 that handle constraints can be given a dominance semantics practice . \n\t', '\n\t\t In this section , we empirically show that both assumptions are met in practice . \n\t', '\n\t\t As an interesting side effect , we also compare the run-times of the constraint-solvers we used , and we find that the dominance constraint solver typically outperforms the MRS solver , often by significant margins . \n\t', '\n\t\t Grammar and Resources . \n\t', '\n\t\t We use the English Resource Grammar ( ERG ) , a large-scale HPSG grammar , in connection with the LKB system , a grammar development environment for typed feature grammars \n\t\t']",Positive
"['\n\t\t We use the system to parse sentences and output MRS constraints which we then translate into dominance constraints . \n\t', '\n\t\t As a test corpus , we use the Redwoods Treebank \n\t\t']",Positive
"['\n\t\t We exclude the sentences that cannot be parsed due to memory capacities or words and grammatical structures that are not included in the ERG , or which produce ill-formed MRS expressions ( typically violating M1 ) and thus base our evaluation on a corpus containing 6242 sentences . \n\t', '\n\t\t In case of syntactic ambiguity , we only use the first reading output by the LKB system . \n\t', '\n\t\t To enumerate the solutions of MRS constraints and their translations , we use the MRS solver built into the LKB system and a solver for weakly normal dominance constraints \n\t\t']",Positive
"['\n\t\t 6.1 Relevant Constraints are Nets We check for 6242 constraints whether they constitute nets . \n\t', '\n\t\t It turns out that 5200 ( 83.31 % ) constitute nets while 1042 ( 16.69 % ) violate one or more net- conditions . \n\t', '\n\t\t Non-nets . \n\t', '\n\t\t The evaluation shows that the hypothesis that all relevant constraints are nets seems to be falsified : there are constraints that are not nets . \n\t', '\n\t\t However , a closer analysis suggests that these constraints are incomplete and predict more readings than the sentence actually has . \n\t', '\n\t\t This can also be illustrated with the average number of solutions : For the Redwoods corpus in combination with the ERG , nets have 1836 solutions on average , while non-nets have 14039 solutions , which is a factor of 7.7 . \n\t', '\n\t\t The large number of solutions for non-nets is due to the \x93structural weakness\x94 of non-nets ; often , non-nets have only merging configurations . \n\t', '\n\t\t Non-nets can be classified into two categories ( see Fig . \n\t', '\n\t\t 6 ) : The first class are violated \x93strong\x94 fragments which have holes without outgoing dominance edge and without a corresponding root-toroot dominance edge . \n\t', '\n\t\t The second class are violated \x93island\x94 fragments where several outgoing dominance edges from one hole lead to nodes which are not hypernormally connected . \n\t', '\n\t\t There are two more possibilities for violated \x93weak\x94 fragments\x97 having more than one weak dominance edge or having a weak dominance edge without empty hole\x97 , but they occur infrequently ( 4.4 % ) . \n\t', '\n\t\t If those weak fragments were normalized , they would constitute violated island fragments , so we count them as such . \n\t', '\n\t\t 124 ( 11.9 % ) of the non-nets contain empty holes , 762 ( 73.13 % ) contain violated island fragments , and 156 ( 14.97 % ) contain both . \n\t', '\n\t\t Those constraints that contain only empty holes and no violated island fragments cannot be configured , as in configurations , all holes must be filled . \n\t', '\n\t\t Fragments with open holes occur frequently , but not in all contexts , for constraints representing for example time specifications ( e. g. , \x93from nine to twelve\x94 or \x93a three o\x92clock flight\x94 ) or intensional expressions ( e.g. , \x93Is it?\x94 or \x93I suppose\x94 ) . \n\t', '\n\t\t Ill- Figure 7 : An MRS for \x93A sauna and a cafeteria are available\x94 ( top ) and two of sixteen merging configurations ( below ) . \n\t', '\n\t\t Figure 8 : The \x93repaired\x94 MRS from Fig . \n\t', '\n\t\t 7 formed island fragments are often triggered by some kind of coordination , like \x93a restaurant and/or a sauna\x94 or \x93a hundred and thirty Marks\x94 , also implicit ones like \x93one hour thirty minutes\x94 or \x93one thirty\x94 . \n\t', '\n\t\t Constraints with both kinds of violated fragments emerge when there is some input that yields an open hole and another part of the input yields a violated island fragment ( for example in constructions like \x93from nine to eleven thirty\x94 or \x93the ten o\x92clock flight Friday or Thursday\x94 , but not necessarily as obviously as in those examples ) . \n\t', '\n\t\t The constraint on the left in Fig . \n\t', '\n\t\t 7 gives a concrete example for violated island fragments . \n\t', '\n\t\t The topmost fragment has outgoing dominance edges to otherwise unconnected subconstraints ^1 and q)2 . \n\t', '\n\t\t Under the merging-free semantics of the MRS dialect used in \n\t\t']",Positive
